Serial No.,Timestamp,Temperature (°C),Humidity (%),CO2 (PPM),PM 1 (µg/m³),PM 2.5 (µg/m³),PM 10 (µg/m³)
1,2026-04-15 14:47:30,32.8,61.0,,,,
2,2026-04-15 14:47:35,32.8,61.0,,,,
3,2026-04-15 14:47:40,32.8,61.0,,,,
4,2026-04-15 14:47:45,32.8,61.0,,,,
5,2026-04-15 14:47:50,32.8,61.0,,,,
6,2026-04-15 14:47:55,32.8,61.0,,,,
7,2026-04-15 14:48:00,32.8,61.0,,,,
8,2026-04-15 14:48:05,32.8,61.0,,,,
9,2026-04-15 14:48:10,32.8,61.0,,,,
10,2026-04-15 14:48:15,32.8,61.0,,,,
11,2026-04-15 14:48:20,32.8,61.0,,,,
12,2026-04-15 14:48:25,32.8,61.0,,,,
13,2026-04-15 14:48:34,32.8,61.0,,,,
14,2026-04-15 14:48:39,32.8,71.0,,,,
15,2026-04-15 14:48:49,32.8,74.0,,,,
16,2026-04-15 14:48:54,32.8,68.0,,,,
17,2026-04-15 14:48:59,32.3,66.0,,,,
18,2026-04-15 14:49:04,32.3,65.0,,,,
19,2026-04-15 14:49:09,32.3,64.0,,,,
20,2026-04-15 14:49:14,32.3,64.0,,,,
21,2026-04-15 14:49:19,32.3,63.0,,,,
22,2026-04-15 14:49:24,32.3,63.0,,,,
23,2026-04-15 14:49:29,32.3,63.0,,,,
24,2026-04-15 14:49:34,32.3,63.0,,,,
25,2026-04-15 14:49:39,32.3,63.0,,,,
26,2026-04-15 14:49:44,32.3,62.0,,,,
27,2026-04-15 14:49:49,32.7,62.0,,,,
,2026-04-15 14:56:15,32.8,61.0
,2026-04-15 14:56:20,32.8,61.0
,2026-04-15 14:56:25,32.8,61.0
,2026-04-15 14:56:33,32.8,61.0
,2026-04-15 14:56:35,32.8,61.0
,2026-04-15 14:56:40,32.8,60.0
,2026-04-15 14:56:45,32.8,60.0
,2026-04-15 14:56:50,32.8,60.0
,2026-04-15 14:56:55,32.8,60.0
,2026-04-15 14:57:00,32.8,60.0
,2026-04-15 14:57:05,32.8,60.0
,2026-04-15 14:57:10,32.8,60.0
,2026-04-15 14:57:15,32.8,60.0
,2026-04-15 14:57:20,32.8,60.0
,2026-04-15 14:57:25,32.8,60.0
,2026-04-15 14:57:30,32.8,60.0
,2026-04-15 14:57:35,32.8,60.0
,2026-04-15 14:57:40,32.8,60.0
,2026-04-15 14:57:45,32.8,60.0
,2026-04-15 14:57:50,32.8,60.0
,2026-04-15 14:57:55,32.8,60.0
,2026-04-15 14:58:00,32.8,60.0
,2026-04-15 14:58:05,32.8,60.0
,2026-04-15 14:58:43,32.8,60.0
,2026-04-15 14:58:45,32.8,60.0
,2026-04-15 14:58:50,32.8,60.0
,2026-04-15 14:58:55,32.8,60.0
,2026-04-15 14:59:00,32.8,60.0
,2026-04-15 14:59:05,32.8,60.0
,2026-04-15 14:59:10,32.8,60.0
,2026-04-15 14:59:15,32.8,60.0
,2026-04-15 14:59:20,32.8,60.0
60,2026-04-15 15:00:45,32.8,60.0,,,,
61,2026-04-15 15:00:50,32.8,60.0,,,,
62,2026-04-15 15:00:55,32.8,60.0,,,,
63,2026-04-15 15:01:00,32.8,60.0,,,,
64,2026-04-15 15:01:05,32.8,60.0,,,,
65,2026-04-15 15:01:10,32.8,60.0,,,,
66,2026-04-15 15:01:15,32.8,60.0,,,,
67,2026-04-15 15:01:20,32.8,60.0,,,,
68,2026-04-15 15:01:26,32.8,60.0,,,,
69,2026-04-15 15:01:30,32.8,60.0,,,,
70,2026-04-15 15:01:35,32.8,60.0,,,,
71,2026-04-15 15:01:40,32.8,60.0,,,,
72,2026-04-15 15:01:45,32.8,60.0,,,,
73,2026-04-15 15:01:50,32.8,60.0,,,,
74,2026-04-15 15:01:55,32.8,60.0,,,,
75,2026-04-15 15:02:00,32.8,60.0,,,,
76,2026-04-15 15:02:05,32.8,60.0,,,,
77,2026-04-15 15:02:10,32.8,60.0,,,,
78,2026-04-15 15:02:15,32.8,60.0,,,,
79,2026-04-15 15:02:20,32.8,60.0,,,,
80,2026-04-15 15:02:25,32.8,60.0,,,,
81,2026-04-15 15:02:30,32.8,60.0,,,,
82,2026-04-15 15:02:35,32.8,60.0,,,,
83,2026-04-15 15:02:40,32.8,60.0,,,,
84,2026-04-15 15:02:45,32.8,60.0,,,,
85,2026-04-15 15:02:50,32.8,60.0,,,,
86,2026-04-15 15:02:55,32.8,60.0,,,,
87,2026-04-15 15:03:00,32.8,60.0,,,,
88,2026-04-15 15:03:05,32.8,60.0,,,,
89,2026-04-15 15:03:10,32.8,60.0,,,,
90,2026-04-15 15:03:15,32.8,60.0,,,,
91,2026-04-15 15:03:20,32.8,60.0,,,,
92,2026-04-15 15:03:25,32.8,60.0,,,,
93,2026-04-15 15:03:30,32.8,60.0,,,,
94,2026-04-15 15:03:35,32.8,60.0,,,,
95,2026-04-15 15:03:40,32.8,60.0,,,,
96,2026-04-15 15:03:45,32.8,60.0,,,,
97,2026-04-15 15:03:50,32.8,60.0,,,,
98,2026-04-15 15:03:55,32.8,60.0,,,,
99,2026-04-15 15:04:00,32.8,60.0,,,,
100,2026-04-15 15:04:05,32.8,60.0,,,,
101,2026-04-15 15:04:10,32.8,59.0,,,,
102,2026-04-15 15:04:15,32.8,59.0,,,,
103,2026-04-15 15:04:20,32.8,59.0,,,,
104,2026-04-15 15:04:25,32.8,59.0,,,,
105,2026-04-15 15:04:30,32.8,59.0,,,,
106,2026-04-15 15:04:35,32.8,59.0,,,,
107,2026-04-15 15:04:40,32.8,59.0,,,,
